Material, Volume X1 RXN, Volume X35 RXN

DNA 1/40, 1μl, -
28F, 1μl, 35μl
427R, 1.2μl, 42μl
WTSF, 1.2μl, 42μl
goTaq, 10μl, 350μl
DDW, 5.6μl, 196μl
