Material, Volume X1 RXN, Volume X35 RXN
DNA 1/40, 1$mu$, -
28F, 1$mu$, 35$mu$
427R, 1.2$mu$, 42$mu$
F1_2, 1.2$mu$, 42$mu$
goTaq, 10$mu$, 350$mu$
DDW, 5.6$mu$, 196 
